name,price_aed
DESLOXAN 5MG TAB 30S                              ,26
DEVIGEST ADS CAP 30'S                             ,87
"DEVIT-3 IM AMPULE 300,000 IU 1S                   ",26
DEWAX EAR DROPS 10ML                              ,4.5
DEXAMETHASONE SOD PHOSP 4MG/ML INJ 100'S          ,251.5
DEXATROL EYE/EAR DROPS 5ML                        ,17.5
DEXKEVITAE 25MG TAB 20'S                          ,12
DEXTROSE 5% 500ML (KUW SAUDI)                     ,4.5
DIABECON TAB 120'S                                ,24
DIABETONE TAB 30'S                                ,52
DIALON 1000MG TAB 30'S                            ,10
DIALON 850MG TAB 30'S                             ,8.5
DIALON XR 1000MG TAB 30'S                         ,23
DIAMICRON MR 60MG TAB 30'S                        ,76
DIAPRIDE 2MG TAB 30'S                             ,19.5
DIASEC 10MG SACH 16'S (INFANTS)                   ,27.5
DIASEC 30MG SACH 16'S (CHILDREN)                  ,27.5
DIAVIT MULTIVIT TAB 30'S                          ,45
"DIBASE 10,000 IU/ML ORAL DROP                     ",137.5
"DIBASE 2,000IU CAP 30""S                           ",26
"DIBASE 25,000 IU/2.5ML ORS                        ",31
"DIBASE 300,000 IU/ML SOLUTION FOR INJECTION 1ML   ",51
"DIBASE 50,000 IU/2.5ML ORS                        ",49.5
DIBUZIN TAB 30'S                                  ,119
DICETEL 100MG F/C TAB 20'S                        ,35
DICLO 1% GEL 50GM                                 ,21.5
DICLO 50MG DISPERSE TAB 20'S                      ,41.5
DICLO 75MG TAB 20'S                               ,55.5
DICLO-FAST 50MG TAB 20'S                          ,27.5
DICLOFEN CREMOGEL 30GM                            ,12.5
DICLOGESIC 50MG TAB 20'S                          ,16.5
DICLOGESIC GEL 30GM                               ,12.5
DICLOGESIC RETARD 100MG TAB 10'S                  ,13
DICLOMAX 1% EMULGEL 50GM                          ,11
DICLOMOV 2% TOPICAL SOLUTION 30GM                 ,57.5
DICYNONE 250MG/2ML INJECTION 4'S                  ,21.5
DICYNONE 500MG CAP 20'S                           ,78.5
DIENOSIS 2MG TAB 28'S                             ,126.5
DIFFERIN 0.1% GEL 30GM                            ,31
DIFLUSTERO 0.05% EYE DROPS 5ML BOTTLE-1'S         ,47
DIGENZYME CHEW TAB 30'S                           ,47.25
DIGISIP ELIXER 200ML                              ,49
DILANYL SYRUP 1.5MG/5ML 100ML                     ,6.5
DILOXOL 75MG TAB 28'S                             ,122
DIMET 500MG TAB 50'S                              ,8.5
DIMET 850MG TAB 50'S                              ,14
DIOCLAV 625MG 20'S                                ,32
DIOSTAR 160MG TAB 30'S (VALSARTAN)                ,26.5
DIOSTAR 80MG TAB 30'S (VALSARTAN)                 ,24
DIOSTAR PLUS 160/12.5MG TAB 30'S                  ,48
DIOSTAR PLUS 80/12.5MG TAB 30'S                   ,42.5
DIOVAN 320MG TAB 28'S                             ,188.5
DIPHELIN PEADIATRIC SYRUP 100ML                   ,6
DIPHELIN PEADIATRIC SYRUP 100ML                   ,6
DIVIDO CAP 20'S                                   ,32.5
"D-LATE 30MG TABLET 3""S                            ",30.5
D-MANNOSA SACHETS 14'S                            ,105
DOLCIVIT VITAMIN D3 50000IU CAP 12'S              ,42.5
DOLO 500MG TAB 20S                                ,9.8
DOLO 650MG TAB 30'S                               ,15
DOLORAZ 400MG GELATIN CAPS 20'S                   ,16.5
DOLURIC 80MG TAB 28'S                             ,50.5
DOLVIC K 50MG TAB 20'S                            ,26.5
DOMPEX 10MG TAB 30'S                              ,12.5
DOMPY 10MG TAB 30'S                               ,14
DOMPY SUSPN 200ML                                 ,11.5
DORA SYRUP 150ML                                  ,19.5
DOROFEN CAPSULES 40'S                             ,128
DOXIPROCT OINT 30GM                               ,23.5
DOXIPROCT PLUS OINT 20GM                          ,19
DOXIUM 500MG CAP 30'S                             ,110
DOXYDAR 100MG CAP 8'S                             ,11
DOXYLAG 100MG 500'S                               ,789
DOXYLAG 100MG CAP 10'S                            ,36
DRAMYLIN PAEDIATRIC SYRUP 120ML                   ,5.5
DRAMYLIN SYRUP 120ML                              ,7
D-TROL SOFTGELS 30S                               ,34.65
DUALKOPT EYE DROPS 10ML (DORZOLAMIDE/TIMOLOL)     ,69.5
DUPHALAC SYRUP 300ML                              ,24.5
DUPHASTON 10MG TAB 20'S                           ,71.5
"DURACAN 150MG CAPS 1""S                            ",28
DUSPATALIN 135MG TAB 50'S                         ,48.5
DUSPATALIN RETARD 200MG TAB 30'S                  ,52.5
DYMISTA NASAL SPRAY 23GM (120 ACTUATIONS)         ,120.5
DYNAMOGEN AMP ORAL SOLN 10ML 20'S                 ,41
EBASTEL 10MG TAB 20'S                             ,41
EBASTEL ORAL SOLUTION 120ML                       ,29.5
"ECOD CAP 30""S- 30177                              ",35
ECZADERM CREAM 0.01% 30GM                         ,11.5
EDYST 20MG TAB 4'S                                ,101
ELANIX 10MG TAB 30'S                              ,118
ELICA CREAM 30GM                                  ,19
ELICA OINTMENT 30GM                               ,18
ELICA-M CREAM 30GM                                ,26
ELICASAL OINTMENT 30GM                            ,25.5
ELIQUIS 2.5MG (6BLPX10=60'S)                      ,520
ELIZINE 5MG TAB 30'S (LEVOCETRIZINE)              ,23
ELTROXIN 100MCG TAB 100'S                         ,22.5
ELTROXIN 50MCG TAB 100'S                          ,20
EMANERA 20MG CAP 28'S                             ,55
EMANERA 40MG CAP 28'S                             ,77.5
EMICIPRO 500MG TAB 10'S                           ,60
"EMIDOL 500MG TAB 24""S                             ",7.5
EMIFENAC DIS TAB 50MG 20'S                        ,35.5
EMILOK 20MG CAP 14'S                              ,52
EMILORA 10MG TAB 20'S                             ,23
EMIMYCIN 500MG TAB 20'S                           ,99
EMIPRIDE 2MG TAB 30'S                             ,30
EMIROS 5MG TAB 30'S                               ,64
EMIVANZ 500/2.5MG TAB 30'S                        ,14.5
EMIVANZ 500/5MG TAB 30'S                          ,17.5
ENAT 400 CAP 30S                                  ,36
ENERZA MULTIVITAMIN&MINERALS TAB 30'S             ,45
ENHANCIN 625MG TAB 20S                            ,33.5
ENTEROGERMINA CAP 12'S                            ,64.25
ENTEROGERMINA SUSP 5ML 20'S VIAL                  ,119.9
ENZYCT SYRUP 100ML                                ,32.71
ENZYMIN LIQUID 200ML                              ,19.5
EPICITAM ORAL SOLUTION 100MG/ML 300ML             ,284.5
EPIMAG 5MG EFF SACH 10'S                          ,9.5
EPIROCIN 0.3% EYE DROPS 5ML                       ,10
EQUAZEN CAP 60'S (5+YEARS)                        ,95
ERITROLAG 500MG TAB 20'S                          ,20
EROSTIN FCT 20MG  TAB 20'S                        ,26.5
EROSTIN ODT 10MG TAB 20'S                         ,28.5
ESOLIFE DR 20MG TAB 14'S                          ,55
ESOLIFE DR 40MG TAB 14'S                          ,77
ESOWIN 20MG CAP 14'S                              ,31
ESOWIN 40MG CAP 14'S                              ,43
"ETORICAN 120MG TAB 10""S                           ",30
"ETORICAN 60MG TAB 30""S                            ",107.5
"ETORICAN 90MG TAB 30""S                            ",107.5
"ETORICAN 90MG TAB 30""S                            ",107.5
ETORIGEN 90MG TAB 28'S                            ,57.5
ETORIX 120MG TAB 7'S                              ,23
ETORIX 60MG TAB 28'S                              ,93.5
ETORIX 90MG TAB 28'S                              ,101
ETOXA 120MG FC TAB 7'S                            ,13
ETOXA 60MG FC TAB 30'S                            ,59.5
ETOXA 90MG FC TAB 30'S                            ,59.5
EVAFLOX 400MG FC TAB 10S                          ,69
EVEX FELIPO CAP 30'S                              ,160
EVEXBONLIPO TAB 30S                               ,160
EVIT 400MG CAP 60'S (GELTEC)                      ,55
EVOXIL 500MG TAB 7S (LEVOFLOXACIN)                ,55
EXFORGE 10/320MG TAB 28'S                         ,296.5
EXFORGE 5/160MG TAB 28'S                          ,206.5
EXFORGE 5/320MG TAB 28'S                          ,296.5
EXFORGE HCT 5/160/25MG TAB 28'S                   ,219
EXTEMENT 100MG CHEW TAB 4'S                       ,59.5
EXTEMENT 50MG CHEW TAB 4'S                        ,42
EXTRACAL +D3 TAB 28'S                             ,92.5
EXTRAFER DROPS 30ML                               ,132
EXTRAFER LIQUID 100ML                             ,132
"EXTRAMAG TRIPLE ACTION TAB 30""S                   ",75
EXTRAMMUNE SYRUP 200ML                            ,20
"EXTRAZNC 15MG TAB 30""S                            ",94.5
EXTRAZNC DROPS 10MG/1ML 20ML                      ,87
EXTRAZNC DROPS 10MG/1ML 20ML                      ,87
EXTRAZNC LIQUID 10MG/5ML 50ML                     ,77
EZECHOL 10MG TAB 30'S                             ,84
EZIFLO 0.4MG TAB 30'S (TAMSULOSIN HCL)            ,46.5
EZIPAN SYRUP 100ML                                ,33
EZIPECT 8MG TAB 20'S                              ,7.5
EZ-ONE 1.5MG TAB 1'S                              ,29.5
FACTIVE 320MG TAB 5'S                             ,81.5
FACTIVE 320MG TAB 7'S                             ,108.5
FAMODAR 40MG TAB 10'S                             ,46
FAST-FLAM 50MG TAB 20'S                           ,21.5
FASTUM GEL DISP 100GM                             ,52
FAVROS 10MG TAB 30'S                              ,51.5
FAVROS 20MG TAB 30'S                              ,86.5
FAVROS 40MG TAB 30'S                              ,89.5
"FEBUCAN 80MG TAB 30""S                             ",54
FEROGLOBIN B12 LIQUID 200ML                       ,38
FEROGLOBIN BABY DROPS 30ML                        ,55
FEROGLOBIN CAP 30'S                               ,42
FEROSAC INJECTION 5'S                             ,104
FEROSE F 100/0.35MG TAB 30'S                      ,21
FERPLEX 40MG 15ML X 10 VIALS OF 15ML              ,78
FERROBELLA+ FERROBELLA-1+1                        ,0
FERROLIP 10ML VIAL 20'S (MANGO FLAVOUR)           ,179
FERROLIP ORAL DISP STICK 20'S (LEMON FLAVOUR)     ,139
FERROVIX CAPSULES 30'S                            ,36.75
FERROVIX SYRUP 200ML                              ,36.75
FERTI WOMEN TAB 30'S                              ,59.85
FERTILEX FORTE WOMEN                              ,115.5
FERTILION-F CAP 30'S                              ,141.75
FERTILIX PLUS CAP 30'S                            ,350
FESS EUCALYPTUS SALINE NASAL SPRAY 30ML           ,40
FESS LITTLE NOSES SPRAY 15ML W/O ASPIRATOR        ,30
FESS SALINE NASAL SPRAY 30ML                      ,30
FETAB FORTE TAB 30'S                              ,45
FETAZIM 1GM IM/IV INJ (CEFTAZIDIME)               ,21
FEVADOL EXTRA 500/65MG TAB 20'S                   ,8
FEXODINE 120MG TAB 14'S                           ,17
FEXODINE 180MG TAB 14'S                           ,17
FEXOLAG 180MG TAB 30'S                            ,37.5
FIBERALL FIBER SUPPLEMENT                         ,51
FINAFTA ANESTHETIC/ANALGISIC LIQUID1/2 OZ (47805) ,36
FINALLERG 10MG TAB 10'S                           ,13.5
FINALLERG 10MG TAB 20'S                           ,25
FINALLERG 1MG/1ML ORAL SOLN 100ML                 ,13
FINORMA 5MG TAB 30'S (FINASTERIDE)                ,65
FIXIT 150MG CAP 14'S                              ,25.5
FIXIT 300MG CAP 14'S                              ,51.5
FLATULEX 80/250MG CAP 30'S                        ,52.5
FLATUNA TAB 20'S (SYNERGY)                        ,54
FLEX 120MG TAB 30'S                               ,21.5
FLEX 180MG TAB 30'S                               ,22
FLEXACON TAB 30'S                                 ,45
FLEXICAM 7.5MG TAB 10'S                           ,10
FLOMIST NASAL SPRAY 10ML                          ,22
FLOXACIN 500MG TAB 10'S                           ,63
FLOXACIN 500MG TAB 10'S                           ,63
FLUCAZOL 150MG 1'S                                ,26
FLUDREX SYRUP 120ML                               ,10.5
FLUDREX TAB 24'S                                  ,13
FLUGENIL 600MG OVULES 10'S                        ,120
FLUGENIL VAGINAL GEL 30ML TUBE                    ,96
FLUIMUCIL 600MG EFFERVESCENT TAB 10'S             ,16
FLUIMUCIL SYRUP 100MG/5ML 200ML                   ,36
FLUIMUCIL SYRUP 100MG/5ML 200ML                   ,36
FLUMACURE 75MG CAP 10'S (OSELTAMIVIR)             ,57.5
FLUMIST AC NASAL SPRAY 20ML                       ,88.5
FLUOMIZIN 10MG VAG TAB 6'S                        ,31.5
FLUTAB 25MG TAB 20'S                              ,9
FLUTAB SINUS 500/30MG TAB 20'S                    ,7.5
FOLICYO 200MCG ORAL DROP 30ML                     ,97.5
FOLIGAIN HAIR LOTION 100ML (80422)                ,80
FOLILIFE 5MG TAB 40'S                             ,9
FOLITAB 1MG TAB 20'S                              ,3
"FOLOFER SOFT GEL 30""S                             ",42
FOLWIN CAP 30'S                                   ,27.5
FORCELAT GELATIN CAP 30'S                         ,50
FORKEM XR 500MG TAB 30'S                          ,5.5
FORKEM XR 750MG TAB 30'S                          ,7
FORMIT XR 750MG TAB 30'S                          ,12
FORSCAR SCAR RECOVERY GEL UV SPF 30 20ML          ,130
FORSCAR SCAR RECOVERY SPRAY 100ML                 ,250
FORTE D3-4000 IU TABLET 30 TAB                    ,47.25
FORTIFERRUM P LIPOSOMAL IRON SACHETS 30'S         ,164.3
FOSFOLAG 3G SACHETS 1'S                           ,36.5
FOSMOL 3000MG GRANULES 1'S                        ,73
FOSTER 100MCG/6MCG INHALER                        ,150.5
FOSTER NEXTHALER 100+6MCG 120D                    ,150.5
FOSTER NEXTHALER 200+6MCG 120D                    ,186
FOURTS BZ SYRUP 200ML                             ,36.5
FRIGOFAST INST COLD SPRAY 400ML                   ,55
FUDION CREAM 2% 15GM                              ,10
FUNZOL 150MG CAP 1'S                              ,25
FUSIBACT B CREAM 15GM                             ,13
FUSIBACT CREAM 15GM                               ,10.5
FUSIBACT OINTMENT 15GM                            ,10.5
FUSIDERM CREAM 15GM                               ,10
"FYBOHUSK  GRAN. 5.15GM 30""S SACHETS               ",45
GALACTOVIT GRANULES 180GM                         ,42
"GALVUS MET 50/500MG 60""S                          ",204.5
GANATON 50MG TAB 100S                             ,72.5
GASEC 20MG CAP 14'S                               ,65
GASEC 20MG CAP 28'S                               ,130
GASORAB 20MG TAB 14'S                             ,30
GASTRAZOLE 20MG CAP 14'S                          ,52
GASTROCOL TAB 20'S                                ,45
GASTROPAN 40MG TAB 15'S                           ,45.5
GASTROPAN 40MG TAB 30'S                           ,80.5
GELLYVIT D3 KIDS ORAL GEL 28ML                    ,70.5
GELOBRONCHIAL SYRUP 200ML                         ,45
GELOMYRTOL FORTE CAP 20'S                         ,45.5
GELOREVOICE THROAT LOZENGES 20'S                  ,38
GEMCAL CAP 30'S                                   ,23
GENGIGEL GINGIVAL GEL 20ML                        ,61.75
GENGIGEL M/W 150ML                                ,61.75
GENGIGEL MOUTH SPRAY 20ML                         ,61.75
GENGIGEL TEETHING GEL 20ML                        ,55
GENTACIN EYE/EAR DROPS 8ML                        ,9
GENTAPLEX CAPSULES 36'S                           ,164
GERDIL 20MG CAP 30'S                              ,59
GERDIL 40MG CAP 30'S                              ,83
GERMIDINE ANTISEPTIC M/W GARGLE 125ML             ,35
GERMIDINE ANTISEPTIC M/W GARGLE ALCOHOL FREE 125ML,35
GERMIDINE ANTISEPTIC OINTMENT 40GM                ,35
GERMIDINE ANTISEPTIC SOLUTION 10% 125ML           ,35
GERMIDINE SORE THROAT SPRAY 100ML                 ,35
GINCOSAN CAP 30'S                                 ,94
GINSANA CAP 100'S                                 ,150
GINSANA CAP 30'S                                  ,55
GINSAVIT CAPSULES 24'S                            ,42
GINSOMIN CAP 30'S                                 ,45
GLENCET 5MG TAB 10'S                              ,5
GLENCET 5MG TAB 30'S                              ,16
GLENDES 5MG TAB 30'S                              ,16
GLENMATE CREAM 30GM                               ,22
GLENPHAGE 1000MG TAB 30S                          ,8.5
GLIM 1MG TAB 30'S                                 ,16
GLIM 3MG TAB 30'S                                 ,36
GLIM 4MG TAB 30'S                                 ,43
GLIT 15MG TAB 28'S                                ,73
GLIT 30MG TAB 28'S                                ,99.5
GLOBIFER FORTE TAB 40'S                           ,152
GLOCLAV 1GM TABS 14'S                             ,84
GLOCLAV 228/5ML SYRUP 70ML                        ,16.5
GLOCLAV 375MG TAB 20'S                            ,37.5
GLOCLAV 457/5ML SYRUP 70ML                        ,28
GLOCLAV 625MG TAB 20'S                            ,63.5
GLODIP 5MG CAP 30S                                ,59.5
GLOLIP CREAM 10GM                                 ,18.75
GLOMOX 1000MG TAB 14'S                            ,42
GLOMOX 500MG CAP 20'S                             ,31
GLOXIB 200MG CAP 10'S                             ,28
GLOXIB 200MG CAP 30'S                             ,73.5
GLOZAL 5MG TAB 30'S                               ,31.5
GLOZIMAX 250MG CAP 6'S                            ,46.5
GLUVENTA XR 500MG TAB 30'S                        ,9
GLYCEREZE INFANT 1G SUPP 10S                      ,13.64
"GLYCILAX ADULT SUPPO 12""S                         ",13.5
"GLYCILAX CHILD SUPPO 12""S                         ",13.5
GLYDRATE SOAP 100GM                               ,30.45
GLYKA MR 30MG TAB 30'S                            ,32.5
GLYKA MR 60MG TAB 30'S                            ,53
GLYMED LOTION 100ML                               ,18
GLYPAR 1MG TAB 30'S                               ,10
GLYPAR 2MG TAB 30'S                               ,15.5
GLYPAR 3MG TAB 30'S                               ,22.5
GLYPAR 4MG TAB 30'S                               ,27.5
GLYXAMBI 10MG/5MG TAB 30'S                        ,416
GLYXAMBI 25MG/5MG TAB 30'S                        ,426
GO COF COUGH SYRUP 100ML                          ,26
GOGAZ 200MG CAP 30'S                              ,48
GOLDISEPT MOUTH&THROAT SPRAY 25ML                 ,36.2
GRAVENO SACHETS 10'S (RASPBERY FLAVOUR)           ,100
GROWLYN DROPS 50ML                                ,38
GROWLYN IMMUNE PLUS LIQUID 200ML                  ,48
GUPISONE ORAL SOLUTION 120ML                      ,42.5
"G-WARTS 5% CREAM 250 MG SACHET 12""S               ",223
GYNO MIKOZAL 200MG VAGINAL OVULES                 ,23.5
GYNO MIKOZOL VAG CREAM 78GM                       ,23.5
GYNOFIT LACTIC ACID VAGINAL GEL 6'S               ,70
GYNOFIT MOIST GEL V-GEL 6'S                       ,65
GYNOFLOR VAGINAL TAB 6S                           ,37.5
G-ZIDE MR 60MG TAB 28'S                           ,24.5
HAEM PLUS CAP 30'S                                ,20
HALLSEPT SPRAY 30ML (MOUTH&THROAT)                ,47
HEAMOVOX TABLETS 30S                              ,31.5
HEMAGEL CREAM 15GM                                ,133
HEMAGEL PROCTO SUPPO 10'S                         ,96
HENACYL 250MG TAB 6'S                             ,32.5
HENACYL 500MG TAB 6'S                             ,53
HEPTA PANTHENOL CREAM FACE&BODY 50GM              ,31.5
HERBEX EXPECT COUGH SYRUP 200ML                   ,29
HERBIFIT HEDERIN SYRUP 200ML                      ,43
HERBIFIT PLANTAIN SYRUP 200ML                     ,40
HERPESAN GEL 5GM                                  ,18.5
HEXBIO GRANULES 3G 10S                            ,45
HEXIDINE MOUTHWASH 160ML                          ,12
HEXIGEL ANTISEPTIC MOUTH GEL 15GM                 ,15
HICET 5MG TAB 30'S                                ,18
"HIDEE 10,000 IU SOFTGEL CAP 30'S                  ",49.5
"HIDEE 2,000 IU SOFTGEL CAP 30'S                   ",26
"HIDEE 5,000 IU SOFTGEL CAP 30'S                   ",38
HIMCOLIN GEL 30GM                                 ,16.5
HIMPLASIA TAB 30'S                                ,28.5
HI-QUIN 4% CREAM 30GM                             ,19.5
HIRUDOID CREAM 40GM                               ,19.5
HISDINE 0.5MG/ML SYRUP 200ML                      ,32.5
HISTAN SYRUP 100ML                                ,7.5
HYALIPER INHALATION VIALS OF 5ML 15'S             ,106.5
HYALO ATLANTIC NASAL SPRAY 30ML                   ,77
HYALO ATLANTIC NASAL SPRAY 30ML                   ,77
HYALOCID VAGINAL GEL 5X5ML                        ,117
HYDR EYE (0.1%) 0.4ML X 30'S DROPS                ,40
HYDRALYTE APPLE BLACKCURRANT ICE BLOCK 62.5ML*16'S,64
HYDRILA 25MG TAB 30'S                             ,18.5
HYDROCORTISONE 2ML 100MG 1'S (EPPICO)             ,9.5
HYFRESH EYE GEL 0.3% UD 0.45ML                    ,48
HYFRESH EYE SOLUTION 10ML                         ,34.5
HYOPAN SYRUP 100ML                                ,7.5
HYPONIDD TAB 20'S                                 ,7.5
HYPOSEC 20MG CAP 14'S                             ,31
IBULGAN 400MG TAB 20'S                            ,10.5
IBULGAN 600MG TAB 20'S                            ,14.5
IBULIFE 100MG/5ML SYRUP 110ML                     ,11.5
IBULIFE 600MG TAB 20'S                            ,14.5
ICE POWER COLD GEL 400ML                          ,180
ICE POWER COLD GEL 75ML                           ,49
"IFICIPRO 500MG TAB 10""S                           ",40
IMATOX 4MG TAB 10'S                               ,108.5
IMATOX 4MG/2ML INJ 5'S (ONDANSETRON HCL)          ,113
IMAVIR CREAM 5GMS TUBE                            ,24.5
IMAVIR CREAM SKIN 15GM                            ,45.5
IMOX EYE DROPS 5ML                                ,16.5
IMPRIDA 10MG/160MG TAB 28'S                       ,193
INFAJOY OINTMENT 50GM                             ,40
"INOFER TAB 100""S                                  ",124
INVOKANA 100MG TAB 30'S                           ,259.5
INVOKANA 300MG TAB 30'S                           ,288.5
I-PROFEN 400MG TAB 30'S                           ,13
I-PROFEN SUSPENSION 100ML                         ,10.5
IRONA SACHETS 20'S                                ,111
"IROVIT CAPS 30""S                                  ",29.5
ISIPROCT RECTAL CREAM 30GM                        ,186.87
ISOLONE 20MG EFF TAB 20'S                         ,27
ISOLONE 5MG EFF TAB 30'S                          ,12
ISOMAR BABY DAILY HYGIENE SPRAY W/CHAMOMILE 100ML ,65
ISOMAR BABY SPRAY NO GAS 30ML                     ,39
ISOMAR DAILY HYGEINE VIAL NOSE&EYES 20X5ML        ,47
ISOMAR DAILY HYGIENE SPRAY NOSE&EAR 100ML         ,44
ISOMAR DAILY HYGIENE SPRAY NOSE&EAR 100ML         ,44
ISOMAR NOSE ALLERGY SPRAY 30ML                    ,39
ISOMAR NOSE DECONGESTANT SPRAY+HYLRNC ACID 100ML  ,68
ISOMAR NOSE DECONGESTANT VIAL 20X5ML              ,53.3
ITRATOP 100MG CAP 15'S                            ,44.5
ITRAZOL 100MG CAP 4'S                             ,17
IVY CALM SYRUP 120ML                              ,23
IVY COUGH SYRUP 100ML                             ,32
IVYLIN COUGH SYP 100ML                            ,20
IVYLIX COUGH SYRUP 100ML                          ,30
IVYTUS SYRUP 100ML                                ,24
JALRA M 50/1000MG TAB 60'S                        ,220
JALRA M 50/850MG TAB 60'S                         ,214.5
JARDIANCE 10MG TAB 30'S                           ,259.5
JARDIANCE 25MG TAB 30'S                           ,311.5
JASICONE TAB 20'S                                 ,30
JOCET 10MG TAB 10'S                               ,7.5
JOFLAM 50MG TAB 20'S                              ,27.5
JOINTACE CAP 30'S (OMEGA 3)                       ,62
JOINTACE GEL 75ML                                 ,62
JOINTACE TAB 30'S (ORIGINAL)                      ,72
"JOINTNEED ORIGINAL TABLETS 30""S                   ",60
"JOINT-ON TABLET 30""S                              ",65.72
JOLTAN 160MG TAB 30'S                             ,48
JOLTAN 80MG TAB 30'S                              ,42.5
JOLTAN PLUS 160/12.5MG TAB 30'S                   ,48
JOLTAN PLUS 80/12.5MG TAB 30'S                    ,42.5
JONAC 75MG INJ 50 AMPOULES (DICLOFENAC SODIUM)    ,130
KENAZOL 2% TOPICAL CREAM 15GM                     ,6
KENAZOL SHAMPOO 100ML BOTTLE                      ,23
KETAZOLE PLUS SOAP 100GM                          ,47.25
KETESSE 25MG TAB 20'S                             ,20.5
KETESSE 50MG/2ML AMP INJ 1'S                      ,8
KETO KETOCONAZOLE SOAP 100GM                      ,29
KETONIL SYRUP 100ML                               ,17.5
K-FLAM 50MG TAB 20 S                              ,23
K-FLAM POWDER 50MG 30S X 1G                       ,48.5
KIDDY TONE SYRUP 200ML                            ,36.75
KIDDYVOX SYRUP 200ML                              ,31.5
KIDNITAN+ SACHET 10'S                             ,47
KIDS PROTICS SACHETS 10'S                         ,30
"KIDSGERMINA VIALS 10ML 10""S                       ",58
KIDS-TRON SYRUP 120ML (ORANGE FLAVOUR)            ,45
KIDZVIT SYRUP 200ML (MULTIVITAMIN)                ,52
KINDERIMMUN POWDER 35GM                           ,184.5
"KINZY 10MG TAB 30""S (SOLIFENACIN SUCCINATE)       ",105
"KINZY 5MG TAB 30""S (SOLIFENACIN SUCCINATE)        ",104
KLARFAST 10MG TAB 10'S                            ,12
KLARITH 500MG TAB 14'S                            ,85
"KLAVOX 1GM TAB 14""S                               ",78
KLAVOX 228MG SUSP 70ML                            ,15
KLAVOX 457MG SUSP 70ML                            ,27
KLAVOX 625MG TAB 20'S                             ,72
KLOROBEN ORAL RINSE 200ML                         ,24
KLOROBEN ORAL SPRAY 30ML                          ,26
KOMBIGLYZE XR 5MG/500MG TAB 28'S                  ,151
K-SPEED 50MG SACHETS 30'S                         ,28
KWIK IRON CAPS 20'S                               ,158.5
KWIK-MOVING OINTMENT QUICK RELIEF 100GM           ,15
KWIK-MOVING OINTMENT QUICK RELIEF 100GM           ,15
KWIK-MOVING OINTMENT QUICK RELIEF 50GM            ,9
KWIK-MOVING QUICK RELIEF SPRAY 150ML              ,20
KWIK-MOVING QUICK RELIEF SPRAY 150ML              ,20
LACTATED RINGERS INJECTION 500ML (KUW SAUDI)      ,5
LAGACET 5MG TAB 30'S (LEVOCETRIZINE)              ,28.5
LAGAGREL 75MG TAB 30'S (CLOPIDOGREL)              ,163.5
LAGAHIST 5MG TAB 30'S (DESLORATADINE)             ,21.5
LAGOLAX SACHETS 40'S (MACROGOL)                   ,65
LAMIFEN 250MG TAB 14'S                            ,121
LAMIFEN CREAM 15GM                                ,15
LAMISIL DERMGEL 15GM                              ,14.5
LANTUS SOLOSTAR 100IU 3ML 5'S                     ,391.5
LAX CAPSULES 30'S                                 ,39.5
LAXAFE 30ML SACHET 10'S                           ,90
LAXAFE 30ML SACHET 10'S                           ,90
LAXOCODYL 5MG SUPP 10'S                           ,7.5
L-CET 5MG TAB 20'S                                ,13.5
L-CET ORAL SOLUTION SYRUP 100ML                   ,35
LEFLOCAD  500MG TAB 10'S                          ,78.5
LEFLOX 500MG TAB 7'S                              ,75.5
LEGALON FORTE 140MG CAP 100'S                     ,166.5
LEJAM 30MG TAB 4'S                                ,68
LEJAM 60MG TAB 4'S                                ,68
LEVAQUIN 500MG TAB 5'S                            ,39
LEVOBAT 500MG TAB 5'S                             ,35.5
LEVOCAM 500MG TAB 5'S                             ,39
LEVOCAM 500MG TAB 7'S                             ,55
LEVOFLOX 500MG TAB 5'S                            ,49
LEVOFLOX 500MG TAB 7'S                            ,68.5
LEVOGLEN 500MG TAB 7S                             ,75.5
LEVOGLEN 500MG TAB 7S                             ,75.5
LEVOKILZ 500MG TAB 5'S                            ,37
LEVOKILZ 500MG TAB 7'S                            ,52
LEVOTAB 500MG TAB 7'S                             ,96
"LEVOTIRON 100MCG TAB 100""S (LEVOTHYROXINE SODIUM) ",11.5
"LEVOTIRON 150MCG TAB 100""S (LEVOTHYROXINE SODIUM) ",13.5
"LEVOTIRON 25MCG TAB 100""S (LEVOTHYROXINE SODIUM)  ",7.5
"LEVOTIRON 50MCG TAB 100""S (LEVOTHYROXINE SODIUM)  ",8
LEVOZIN 5MG TAB 20'S                              ,15.5
LIBLAB SYRUP 100ML                                ,22
LIDONOSTRUM 100MG/ML LIDOCAINE 10% BOMBA SPRAY80GM,23.5
LIDONOSTRUM GELE 2% 20MG/G GEL 30GM               ,22
LIFENAC 50 DT DISP TAB 20'S (DICLOFENAC)          ,40
LINK 36 20MG TAB 4'S                              ,57.5
LINK 5MG TABLETS 30'S                             ,156
LIOVITAL PLUS MICROVIALS 10'S ORAL                ,160
LIPANTHYL 145MG TAB 30'S                          ,45
LIPINERVE CAP 30S (R-ALPHA LIPOIC ACID)           ,248.85
LIPIRA 10MG TAB 30'S                              ,64.5
LIPOSIC 15 EYE GEL 10GM                           ,19.5
LIPOVIR 5% PUMP GEL 5GM                           ,32
LOCOID CREAM 0.1% 30GM                            ,28
LOCOID LIPOCREAM 30GM                             ,28
LOFLAM 100MG TAB 20'S                             ,44
LOFLAM BLISTER 100MG TAB 30'S                     ,60
